vertices,celtype,loc_x,loc_y,loc_z,state,tcounter
366.0, 1.0, 19.8, 184.3, 38.9, 5.0, 1.0
367.0, 1.0, 21.0, 214.2, 40.2, 5.0, 1.0
368.0, 1.0, 27.1, 227.6, 55.6, 5.0, 1.0
369.0, 1.0, 25.7, 226.2, 48.9, 5.0, 1.0
370.0, 1.0, 45.2, 222.6, 6.2, 5.0, 1.0
371.0, 1.0, 23.8, 217.1, 30.6, 5.0, 1.0
372.0, 1.0, 23.9, 210.8, 29.5, 5.0, 1.0
373.0, 1.0, 28.7, 194.4, 26.5, 5.0, 1.0
374.0, 1.0, 24.1, 224.1, 44.5, 5.0, 1.0
375.0, 1.0, 27.5, 229.8, 45.3, 5.0, 1.0
376.0, 1.0, 39.2, 198.1, 19.9, 5.0, 1.0
377.0, 1.0, 35.0, 201.8, 20.2, 5.0, 1.0
378.0, 1.0, 35.6, 196.2, 22.0, 5.0, 1.0
379.0, 1.0, 35.1, 186.2, 25.4, 5.0, 1.0
380.0, 1.0, 38.3, 189.0, 23.6, 5.0, 1.0
381.0, 1.0, 20.1, 195.5, 36.9, 5.0, 1.0
382.0, 1.0, 31.4, 235.7, 36.6, 5.0, 1.0
383.0, 1.0, 28.2, 231.2, 39.5, 5.0, 1.0
384.0, 1.0, 28.9, 231.6, 32.5, 5.0, 1.0
385.0, 1.0, 26.1, 215.6, 25.1, 5.0, 1.0
386.0, 1.0, 26.2, 227.2, 35.5, 5.0, 1.0
387.0, 1.0, 17.6, 183.4, 44.0, 5.0, 1.0
388.0, 1.0, 19.1, 180.1, 41.0, 5.0, 1.0
389.0, 1.0, 24.2, 187.9, 32.0, 5.0, 1.0
390.0, 1.0, 21.8, 189.4, 34.9, 5.0, 1.0
391.0, 1.0, 17.6, 172.0, 45.0, 5.0, 1.0
392.0, 1.0, 19.0, 169.8, 43.1, 5.0, 1.0
393.0, 1.0, 19.5, 171.7, 41.9, 5.0, 1.0
394.0, 1.0, 17.7, 200.0, 45.0, 5.0, 1.0
395.0, 1.0, 17.6, 197.2, 44.2, 5.0, 1.0
396.0, 1.0, 18.6, 198.8, 41.1, 5.0, 1.0
397.0, 1.0, 36.3, 222.1, 13.1, 5.0, 1.0
398.0, 1.0, 40.6, 245.0, 15.5, 5.0, 1.0
399.0, 1.0, 37.9, 177.0, 27.5, 5.0, 1.0
400.0, 1.0, 40.0, 179.5, 26.2, 5.0, 1.0
